"filename","_col1"
"20230817_10_408.zip-381700H0.819","587"
"20230818_12_408.zip-381859H0.812","139"
"20230819_06_408.zip-381975H0.815","27"
"20230820_23_408.zip-382042H0.804","11"
"20230812_06_408.zip-381218H0.815","2116"
"20230820_20_408.zip-382022H0.809","15"
"20230819_04_408.zip-381998H0.811","56"
"20230818_14_408.zip-381871H0.807","60"
"20230820_15_408.zip-382016H0.809","15"
"20230817_18_408.zip-381764H0.807","850"
"20230819_02_408.zip-381806H0.809","73"
"20230818_22_408.zip-381896H0.811","57"
"20230820_16_408.zip-382030H0.814","12"
"20230820_23_408.zip-382033H0.811","42"
"20230821_21_408.zip-382147H0.814","10"
"20230821_11_408.zip-382102H0.817","431"
"20230810_07_408.zip-381021H0.804","437"
"20230810_12_408.zip-381025H0.804","1618"
"20230823_16_408.zip-382351H0.805","16"
"20230811_17_408.zip-381141H0.814","1464"
"20230811_13_408.zip-381124H0.811","645"
"20230811_10_408.zip-381101H0.815","997"
"20230810_11_408.zip-381099H0.803","2360"
"20230810_04_408.zip-381071H0.802","3"
"20230822_16_408.zip-382231H0.806","81"
"20230823_06_408.zip-382361H0.814","9"
"20230811_21_408.zip-381151H0.808","1370"
"20230810_13_408.zip-381084H0.807","984"
"20230824_03_408.zip-382421H0.813","10"
"20230823_15_408.zip-382328H0.807","38"
"20230823_14_408.zip-382326H0.807","38"
"20230820_19_408.zip-382018H0.805","20"
"20230818_18_408.zip-381873H0.807","60"
"20230817_23_408.zip-381782H0.811","939"
"20230815_06_408.zip-381547H0.801","2935"
"20230812_18_408.zip-381236H0.813","2406"
"20230814_10_408.zip-381453H0.811","3079"
"20230816_19_408.zip-381662H0.813","2191"
"20230813_10_408.zip-381349H0.804","6564"
"20230816_18_408.zip-381695H0.814","3978"
"20230815_10_408.zip-381573H0.814","641"
"20230812_16_408.zip-381241H0.804","2043"
"20230815_01_408.zip-381459H0.808","369"
"20230817_10_408.zip-381701H0.809","1509"
"20230813_12_408.zip-381342H0.813","984"
"20230815_22_408.zip-381592H0.804","741"
"20230813_22_408.zip-381347H0.813","331"
"20230813_15_408.zip-381334H0.801","2508"
"20230815_18_408.zip-381555H0.801","4251"
"20230815_20_408.zip-381563H0.811","1850"
"20230813_16_408.zip-381307H0.812","794"
"20230819_09_408.zip-381901H0.811","44"
"20230819_19_408.zip-381972H0.812","37"
"20230812_21_408.zip-381245H0.804","816"
"20230817_20_408.zip-381770H0.815","4699"
"20230816_19_408.zip-381605H0.804","2325"
"20230820_01_408.zip-381940H0.804","12"
"20230818_08_408.zip-381827H0.804","85"
"20230816_02_408.zip-381549H0.807","2749"
"20230819_09_408.zip-381905H0.805","46"
"20230823_22_408.zip-382357H0.811","38"
"20230819_12_408.zip-381904H0.811","44"
"20230820_15_408.zip-382002H0.802","150"
"20230822_01_408.zip-382139H0.809","13"
"20230820_15_408.zip-382024H0.814","12"
"20230820_18_408.zip-382035H0.814","12"
"20230819_09_408.zip-381986H0.807","49"
"20230822_19_408.zip-382255H0.814","9"
"20230823_16_408.zip-382354H0.811","38"
"20230822_06_408.zip-382244H0.809","12"
"20230823_01_408.zip-382260H0.814","9"
"20230820_17_408.zip-382015H0.805","20"
"20230822_18_408.zip-382211H0.807","38"
"20230822_23_408.zip-382262H0.809","12"
"20230810_15_408.zip-381033H0.814","169"
"20230824_11_408.zip-382461H0.811","38"
"20230824_02_408.zip-382320H0.813","10"
"20230810_10_408.zip-381052H0.809","517"
"20230810_19_408.zip-381058H0.809","204"
"20230810_08_408.zip-381081H0.807","1777"
"20230813_13_408.zip-381333H0.801","874"
"20230814_07_408.zip-381452H0.811","2520"
"20230814_07_408.zip-381419H0.807","1727"
"20230817_07_408.zip-381796H0.809","2814"
"20230816_21_408.zip-381607H0.804","899"
"20230817_20_408.zip-381765H0.813","2246"
"20230815_21_408.zip-381553H0.815","165"
"20230817_19_408.zip-381774H0.801","1175"
"20230813_19_408.zip-381309H0.812","970"
"20230815_13_408.zip-381577H0.814","617"
"20230815_18_408.zip-381547H0.807","1115"
"20230817_11_408.zip-381769H0.801","2030"
"20230812_14_408.zip-381249H0.814","803"
"20230816_08_408.zip-381690H0.814","438"
"20230817_12_408.zip-381776H0.811","586"
"20230815_19_408.zip-381549H0.815","2893"
"20230817_07_408.zip-381798H0.809","652"
